Singkatan/Slang,Frekuensi,Contoh Ulasan 1,Contoh Ulasan 2,Contoh Ulasan 3
lgi,1211,[BCAMobile] bca lgi gangguan apa gimana loading terus mau masuk bca mobile,[BCAMobile] gimana tolong habis ganti hp baru dipindahkan aktifasi lgi muncul proses silakan ulangi beberapa lagi udah ganti cardnya di sim lalu sudah pakai data tidak pakai wifi jaringan stabil restart hp juga udh kok kyk gitu,[BCAMobile] awal ngisi k ngurang k katanya emng normal soalnya rekening baru kena potongan eh hari kedua tiba tiba ngurang lgi k hdh aneh bngt gda kejelasan
ny,1203,[BCAMobile] saldo habis dihek org gmna aplikasi ny aman gak ni,[BCAMobile] knp stelah d update apl m bngking jdi lemot gk kyak biasa ny slow respon,[BCAMobile] dong aplikasi ny gk buka di perbarui dn nopikasi di blokir
dr,1176,[BCAMobile] dipindahkan hp laen diulang dr awal tp verifikasi terahir minta foto wajah da sampe kali bisa alhasil disuruh hub pusat m bca nya terblokir dong solusinya gimana sih,[BCAMobile] udah keluar apl bca mobile cukup lumayan lama mau masuk ga padahal pulsa dr hp sya cukup kenapa ga bs masuk dan ada notifikasi pemberitahuan tiba tiba saldo kepotong,[BCAMobile] di update malah tambah lemot contoh dr notif merah hijau nya lamaaaaa sekali pdhl signal bagus wifi kenceng di perbaiki lg bca
ttp,1135,[BCAMobile] yaa tiap mau buat m bca selalu stuck pembuatan sandi m bca pas klik send tunggu lampu indikator hijau letak indikator lampunya ga udh coba install uninstall restart hp ttp ga mau jaringan wifi sama data oke ga kendala ulang trus smpai brp kali isi pulsa pdhl dri dulu suka bgt pake ni aplikasi krna simpel ke reset karna ganti no hp dongg solusinya,[BCAMobile] verifikasi pribadi gagal mulu padahal sesuai foto selfie sampe lepas hijab sesuai ktp ttp gagal,[BCAMobile] kenapa indikator nya merah terus udah d reset ttp sama aja
gmn,1127,[BCAMobile] d update malah minta masukin norek awal install bca trus ga bs d ceklist buat lanjutin k proses selanjutnya gmn sih sistemnya bukannya memudahkan tp malah menyulitkan padahal sy sll menggunakan bca dlm transaksi,[BCAMobile] parah banget suruh update giliran sdh update malah qr yg susah jaringan data ga pake wifi ga juga gmn sih,[BCAMobile] gmn sih bca dong jelas msa potongan bulanan potongnnya gak jls bnr bulan kmarin saldo sedot sekarang malah tp di prosedurnya potongan bulan gmn bca aneh
tgl,1046,[BCAMobile] astaga mau buka tabungan online aja persulit panggilan video call nya petugas nya ga baik mendaftar saudara a n anisyah r dewi persulit sekali sama petugas nya tgl jam semua aset di bca tarik semua unistall,[BCAMobile] upgrade terbaru tgl malah jadi lemot lambat alias berat,[BCAMobile] transfer uang x yg terkirim gak terkirim saldonya kepotong x saldo entah nyangkut dari tgl desember sampe sekarang desember gak balik duitnya ribu lumayan dahh ilang tuh gajelas
dgn,1036,[BCAMobile] skr buka mbca nya lama nget mau trf lama qris lama apa dgn layanan bca skr,[BCAMobile] lampu indikatornya selalu warna merah ga berubah jadi warna hijau walaupun dah instal ulang saya stel ulang tetap ga berubah dgn lampu indikatornya tetp warna merah jadi mempersulit,[BCAMobile] segera diperiksa ulang aplikasi mobile bca lakukan pembaruan aplikasi yg terbaru sejak bln aplikasi mobile bca saya gunakan device samsung dgn ui terbaru terjadi kendala sering gagal input data transfer saya hapus instal ulang aplikasi terjadi gagal aktifasi tombol lanjut bisa klik saat saya bisa menggunakan aplikasi kembali mencoba datang cs bca langsung mereka bisa utk kndala aplikasi
jdi,1028,[BCAMobile] knp stelah d update apl m bngking jdi lemot gk kyak biasa ny slow respon,[BCAMobile] apk macam apa mau verifikasi wajah gagal teruss developernya gk mau gerak makin kesni jdi samph nih apk,[BCAMobile] skrng sistemnya sangat lambat jdi memperjambat pekerjaan
ngak,1012,[BCAMobile] donk benerin apk pagi ngak transaksi mau kirim uang selalu lampu indikator berubaerah perbaiki jgn eror terus susah ini orang yg gunain mbengking bca,[BCAMobile] mobile banking tetangga sebelah canggih canggih laporan mutasinya perbulan tampil menyeluruh bca it nya kynya kurang canggih terutama masalah laporan mutasi transaksi harian alesannya klasik memori ngak cukuplah data kepenuhan proses datanya lama de el el kalo bank sekelas bca punya alesan sprti norak ya intinya nasabah bayar admin tp pelayanan fitur kurang memuaskan bg nasabah iya satu dlm beli ticket pelni nya srng error,[BCAMobile] makin kesini makin ngak jelas susah verifikasi muka nya ni aplikasi
utk,989,[BCAMobile] bca beliin tempat sampah dong masa tiap outlet yg sambangi ga pernah nemuin tempat sampah utk bekas struk transaksi,[BCAMobile] mau transfer antar rekening koq loading terus menerus tp klo utk tf account cek mutasi saldo seminggu kaya gini terus bikin susah transaksi ini apakah,[BCAMobile] akhir akhir app loading butuh waktu lumayan lama baik untuk cek mutasi ataupun utk transaksi harap diperhatikan masalah karena bila lemot sangat mengganggu btw tak lama review langsung dpt respon pengembang perlu diketahui ini menggunakan device android yg mana sebelumnya device android lancar jaya jaringan yg sama
gmna,975,[BCAMobile] saldo habis dihek org gmna aplikasi ny aman gak ni,[BCAMobile] saldo awal k sekian knpa bayar qris k gagal coba berulang x transaksi berhasil malah saldo ketarik k mutasi tercatum kenapa inboxnya gaada gmna saldo saya untuk kelanjutannya,[BCAMobile] woy bca gmna sih kode otp gk d kirim gimana mau d gunain stres bca udh brp kali klik minta kode otp gk d kirim sumpah taikkk banget bca
nyusahin,954,[BCAMobile] nyusahin kartu yg ga terdaftar ga masuk hp otomatis suruh verif ulang beda sama apk mbangking yg mending gratis bayar pake pulsa buat login nyusahin bener lah perbaiki ga semuaa orang cetak kartu atm,[BCAMobile] aplikasi sampah sering gangguan mau bayar jadi susah nyusahin aja kalo gak niat bikin sistem hapus aja aplikasinya,[BCAMobile] adminnya nyusahin gua udah ngantri lama mentang mentang cewe gua salip lawak
males,953,[BCAMobile] semenjak update jadi lama bgt kalau mau masuk mbanking nya mau bayar pake qris jadi males,[BCAMobile] bca knpa yah gak jelas tf ribu masuk saldo ribu tadi tf barusan masuk gak jelas nih bca males gunain bca kalo kaya gini postingannya banyak sekali,[BCAMobile] gax jelas apknya sering gangguan lama gangguannya bikin kesel orang aja tar mah ganti bank lah udah males gangguan terus
y,942,[BCAMobile] habis update nggk di buka y apk nya udh coba hapus download lg jg sama aja kaga kebuka,[BCAMobile] knpa ga hijau lampunya error y di benahi,[BCAMobile] serius nanya min tumben buka apk pake sinyal wifi gamau y min knpa min
jgn,934,[BCAMobile] bca mengecewakan bgtttttttt diperbarui selama bln terakhir bca ku jadi error terus mana posisi mau bayar sampai tlp operator katanya ada kendala dipastikan jgn berkurang jaringan nya lah padahal jaringan fulll pakai data jugaaa tp malah tulisan something went wrong terusss sumpah sih baru kali kecewa sama bca yg padahal gk pernah bermasalah nya,[BCAMobile] maintenance jgn lama lama gua org kerja tf apk grab bca ga bs pindah ovo ovo tf lg grab malah maintenance maintenance sampe berjam sdh jam dari jam ganggu org kerja lu pea bgt bca skrg bs kerja ga,[BCAMobile] udah napa jgn update terus kasian yg kapasitas hp kentang jd lola
kek,933,[BCAMobile] di update apknya lama banget loadingnyaa ga kek updatetan malah makin buruk indikator merah biru hijaunya lama masuk kode akses lama padahal jaringan bagus diperbaiki,[BCAMobile] udah capek capek lama isi pendaftaran habis disuruh nunggu video call pas video call semua data udah benar malah bilang yang salah ngasih tau kesalahannya langsung disuruh kantor cabang bca kalo gitu ngapain awal daftar udahlah ribet udah mau tahun daftar kek gini aja dibikin ribet pantes rating tim bca otaknya duit gak mau ngelayanin pengguna lewat online otak gak,[BCAMobile] gkda angin hujan tiba suruh veripikasi ulang udah sering benget kek gini asw nunda pekerjaan pulsa habissssssssssss
dipake,931,[BCAMobile] ganti hp aktivitasi baru tp gagal mulu padahal nomor hp yg dipake sama,[BCAMobile] kenapa jadi sering ga diakses bca mobile nya urgent malah ga dipake,[BCAMobile] buka aplikasi masukan username ternyata minta update playstore begitu klik dan klik update malah muter terus pikir jaringannya bermasalah lalu cek koneksi baik wifi paket data gak masalah sekarang malah aplikasinya jadi gak dipake kalo minta update sebaiknya pilihan terus update ditunda dulu jgn cuma tapi kelanjutannya malah jadi muter terus jadi menghambat sekali transaksi
slalu,859,[BCAMobile] tiap verifikasi wajah knapa slalu gagal ganti hp karna hp lama udah eror malah pas mau log in bca susah bgt tiap verifikasi gagal terus padahal pencahayaan udah aman bantuan sarqnnya dong,[BCAMobile] kenapa kok tiap kali buka slalu gak langsung lagi padahal update gini khn jadi gak liat saldo saya tinggal berapa,[BCAMobile] kesini kesana pas buka slalu ganguan lampu nya
kaga,850,[BCAMobile] apk dongo login aja kaga,[BCAMobile] aplikasi ngaco mau buka rekening terus gk pulsa abis daftar kaga alesan nya jaringan,[BCAMobile] habis update nggk di buka y apk nya udh coba hapus download lg jg sama aja kaga kebuka
pdhal,849,[BCAMobile] lemot sekali mau buka apk nya pdhal jaringan bagus tpi jaringan terputus terus kira knpa apa eror,[BCAMobile] dulu aplikasi bca paling cepat rasa proses apapun sekarang sangat sangat lambat sekali apa menunggu proses berubah warna merah biru hijau sangaaattt lama sekali apa lg waktu melakukan proses pembayaran pakai qris kan jd gk enak klo pas lg banyak antrian pdhal jaringan internet kuota semuanya baik lebih cukup mohon diperbaikin tim bca terima kasih,[BCAMobile] kenapa abis update selalu merah trs pdhal sinyal bagus kenceng udah mode pesawat berulang kali pakai wifi tetangga sama aja lama bgt merah nya sampe kesel sendiri kadang pas diluar mau pembayaran always merah lama klo lgi antri kan jadi malu pas mau bayar diliatin yg punya toko tkut dikira penipu ya pihak bca perbaiki balikin kaya update yg lancar bgt mudah udah lemot banget berat always merah
ilang,841,[BCAMobile] saldo tiba ilang ada mutasi padahal kemarin baru kepotong bunga rb perbulan apk aneh,[BCAMobile] di perbaikin sistemny krn selama sya ojol terus tf em banking msa duit sya ilang rb gmn sistemny di perbaikin krn sya selalu check uang yg sya tf sya selalu inget terakhir saldo sya brp,[BCAMobile] makin kesini makin parah ni apk masa pembayaran by qris gagal saldo atm ilang ga balik balik
skrng,827,[BCAMobile] udah ga bagus skrng aplikasi lemot banget mau ngapa ngapain,[BCAMobile] skrng sistemnya sangat lambat jdi memperjambat pekerjaan,[BCAMobile] knpa skrng bca parah bgt potongan ny lumayan masa uang masuk kena potong blom bulanan wajibny
ngk,822,[BCAMobile] kok akhir jelek banget yaa pake bca mobile ngk telat dikit ngk mau digunakan merah terus notifnya mana log out dl baru masuk pun diulang berkali baru mau transaksi,[BCAMobile] pagi ngk daftar alias masukin nomer kartu berulang ulang sms konfirmasi jugaaaaa sangat jelek,[BCAMobile] kok aplikasinya ngk di gunakan
gimna,779,[BCAMobile] x mau transaksi tunggu lampu indikator berwarna hijau lampu merah apa gimna bank mobile paling busuk pernah gue gunakan,[BCAMobile] pentingkan indonesia bagian barat bagian timur nya gimna mau tarik uang kalau jam subuh ajah kagak mengikuti gak kasian apa org kalau butuh uang sini biasanya gak pake waktu narik uang skrg malah pake waktu katanya permudah malah persulit aneeeehhh bca dong buat ajah jam,[BCAMobile] pulsa tp sms gak terkirim gimna sih
liat,770,[BCAMobile] kenapa kok tiap kali buka slalu gak langsung lagi padahal update gini khn jadi gak liat saldo saya tinggal berapa,[BCAMobile] mohon maaf kk kok si saldo lewat dana gx masuk sedang notifikasi nya masuk saya liat saldo nya kosong,[BCAMobile] adain bca mobile wrapped desember end dong fomo liat user sebelah
uda,768,[BCAMobile] buka rekening baru aja ribet x banyak itu data uda diisi sesuaikn masih banyak itu nya cs klo ribet gtu pembuatan rekening bagus hapus aja apk nya playstore biar yg pada tau klo pembuatan rekening lgsg kantor g online seseorang buat rek online krna g kekantor terdekat itu rek buat gajian tpi perlu diingat semua perusahaan menggunakan jasa bank bca buat gajian,[BCAMobile] transaksi gagal saldo berkurang ga balik saldonya uda x begini hadeh,[BCAMobile] capek banget uda buat laporan bolak balek mau x pas tarek uang mesinnya prablem transaksi proses sampe rumah cek uang udah kluar di mutasi kartu udah otomatis kluar sendiri uang di kembalikan karna mesin prablem malah bilangnya transaksi normal kan nasabah di rugikan klau kek gini uang tidak di terima sepeserpun mana di perantauan sendiri bner bener gak puas
aj,767,[BCAMobile] sinyal penuh internet lancar masih aj kode merah aneh bener,[BCAMobile] mau login bca mobile susah harus ber puluh x tetep aj gak padahal pulsa banyak gak ad sulusi solusi bantuan g,[BCAMobile] verifikasi wajah aj lama
malem,754,[BCAMobile] malem sampe sekarang ko lama saldo transaksii e wallet m bca lama banget padahal e wallet berhasil,[BCAMobile] tiap malem gangguan mulu mbanking nya mau tf susah,[BCAMobile] baru malem minta update habis update malah parah aplikasi jadi lemot siang maintenance
dri,748,[BCAMobile] yaa tiap mau buat m bca selalu stuck pembuatan sandi m bca pas klik send tunggu lampu indikator hijau letak indikator lampunya ga udh coba install uninstall restart hp ttp ga mau jaringan wifi sama data oke ga kendala ulang trus smpai brp kali isi pulsa pdhl dri dulu suka bgt pake ni aplikasi krna simpel ke reset karna ganti no hp dongg solusinya,[BCAMobile] bca knpa update aplikasi indikator merah nya suka lama banget bahkan sering banget gagal kok malah makin buruk aplikasi nya orang mau transfer masa iya ke atm terus buat apa bca mobile udah pekan kaya gini masa iya dri bca gak yang tau masalah dan kalou udah tau knpa gak sesegara mungkin benerin,[BCAMobile] kenpa susah banget lampu ijo nya dri tdy
ad,729,[BCAMobile] mau login bca mobile susah harus ber puluh x tetep aj gak padahal pulsa banyak gak ad sulusi solusi bantuan g,[BCAMobile] semenjak ad perubahan bukan ny bikin berubah jadi buat ngelag terus mau qr pun tf lama banget proses ny,[BCAMobile] sangat kecewa bank bca ad informasi langsung datang kantor bca terkait uang mengendap rb tidak tau bapak transfer sebesar jadinya tidak masuk menjadi saldo mengendap tidak memakai bank lagi jujur kecewa banget duit bapak transfer sangatlah penting menurut saya bca mobile rekening terburuk saya temui
dlu,725,[BCAMobile] skarng knapa sya tfr pdhl brhasil pi m bnking trtulis msih dlu bgus skrg susah bgt,[BCAMobile] kasih bintang dlu tanya kalau sim card kepasang harus verikasi ulang terus dong diperbaiki pihak bca mobile,[BCAMobile] bintang dlu soalnya punya gak masuk sama sekali cuma mau ngisi centang gak
nyesel,721,[BCAMobile] nyesel pake bca top up flazz bca gagal transaksi uang dah hilang bukanya ganti malah kebanyakan ngomong akhirnya gantiin uang bos sangka nyuri padahal masalah transaksi gagal jelasin detail ungkit direktur nya allah,[BCAMobile] parah nih aplikasi gajelas mau cek saldo gabisa muterrr terus mau tf ga muterrr mau qrisss gabisa gaguna nih aplikasi mending pindah bank laenn pada ntar lu pda nyesel,[BCAMobile] habis updet jadi lemot pollllll merah mulu nyesel aku updet bikin emosi
pdahal,703,[BCAMobile] apa aplikasi bintang register mobile banking pagi ampe sore bilangnya tunggu indikator hijau pdahal ada indikator sama sekali ampe habis pulsa gue k,[BCAMobile] nunggu lampu indikator merah hijau lama banget pdahal jaringan g,[BCAMobile] cuma pindah hp aja susah banget sekarang udah verifikasi ktp sama wajah sukses tinggal kirim kode otp smp hari kodenya gk masuk udah ulang beberapa kali tetep gk masuk sms kode otpnya pdahal terima sms nomor bisa
mo,702,[BCAMobile] susah kalo mo transaksi segala macem nya kudu nunggu warna hijau sedangakan kadang ga hijau hijau tuh lampu nyusahin,[BCAMobile] lah bca gila kali mo transaksi qris aja lamaaaaaa,[BCAMobile] ijonya susah merah mulu mo transfer aja bolak balik nunggu ijo lama sampek kluar masuk kluar masuk hadeeeeeeh pindah bank aja maaf
org,696,[BCAMobile] saldo habis dihek org gmna aplikasi ny aman gak ni,[BCAMobile] bca sbg bank no indonesia ternyata bisa memberi penjelasan hilangnya uang yg tdk tercantum dlm mutasi memang nominalnya hny tp jelas membuktikan keteledoran pihak bca dlm menjaga uang nasabahnya bagaimana dikalikan ribuan org yg ga sadar uangnya terpotong ga jelas bca jelaskan kmn uang sy,[BCAMobile] emang pihak bca penagihan minggu tengah hari bolong kermh baru tau pihak bank besar tahihan tak seberapa org kermh bukan jam kerja
